A01-1	0.859683 0.140317
A02-9	0.588766 0.411234
A03-17	0.999990 0.000010
A04-25	0.999990 0.000010
A05-33	0.999990 0.000010
B01-2	0.999990 0.000010
B02-10	0.835299 0.164701
B03-18	0.999990 0.000010
B04-26	0.999990 0.000010
B05-34	0.999990 0.000010
C01-3	0.000010 0.999990
C02-11	0.999990 0.000010
C03-19	0.999990 0.000010
C04-27	0.999990 0.000010
C05-35	0.999990 0.000010
D01-4	0.000010 0.999990
D02-12	0.999990 0.000010
D03-20	0.999990 0.000010
D04-28	0.480899 0.519101
D05-36	0.962930 0.037070
E01-5	0.999990 0.000010
E02-13	0.999990 0.000010
E03-21	0.999990 0.000010
E04-29	0.999990 0.000010
E05-37	0.000010 0.999990
F01-6	0.999990 0.000010
F02-14	0.999990 0.000010
F03-22	0.999990 0.000010
F04-30	0.999990 0.000010
F05-38	0.114757 0.885243
G01-7	0.543153 0.456847
G02-15	0.999990 0.000010
G03-23	0.999990 0.000010
G04-31	0.999990 0.000010
G05-39	0.057095 0.942905
H01-8	0.072287 0.927713
H02-16	0.999990 0.000010
H03-24	0.741957 0.258043
H04-32	0.172132 0.827868
A01-40	0.000010 0.999990
A02-48	0.000010 0.999990
A03-56	0.999990 0.000010
B01-41	0.000010 0.999990
B02-49	0.431672 0.568328
B03-57	0.000010 0.999990
C01-42	0.324725 0.675275
C02-50	0.316386 0.683614
C03-58	0.302522 0.697478
D01-43	0.233203 0.766797
D02-51	0.805020 0.194980
E01-44	0.572150 0.427850
E02-52	0.126925 0.873075
E03-60	0.140260 0.859740
F01-45	0.791164 0.208836
F02-53	0.000010 0.999990
F03-61	0.999990 0.000010
G01-46	0.000010 0.999990
G02-54	0.586090 0.413910
H01-47	0.000010 0.999990
H02-55	0.153792 0.846208
