ind	order_ped	ID	LAT	LON
A01-1	1	1	-21.12058	55.691984
A02-9	2	9	-21.310922	55.535568
A03-17	3	17	-20.947493	55.635494
A04-25	4	25	-21.014659	55.649112
A05-33	5	33	-21.015621	55.646931
B01-2	6	2	-20.922611	55.613837
B02-10	7	10	-20.929399	55.65055
B03-18	8	18	-20.920227	55.605946
B04-26	9	26	-21.007564	55.656181
B05-34	10	34	-21.113336	55.68912
C01-3	11	3	-21.222318	55.455361
C02-11	12	11	-20.929582	55.651494
C03-19	13	19	-20.928748	55.650858
C04-27	14	27	-20.987527	55.651753
C05-35	15	35	-21.112635	55.690092
D01-4	16	4	-21.146325	55.324206
D02-12	17	12	-21.018894	55.660613
D03-20	18	20	-20.929386	55.651168
D04-28	19	28	-21.323388	55.633084
D05-36	20	36	-21.11789	55.689185
E01-5	21	5	-20.985779	55.614343
E02-13	22	13	-21.018894	55.660613
E03-21	23	21	-20.999617	55.64435
E04-29	24	29	-21.118283	55.688257
E05-37	25	37	-21.245806	55.497275
F01-6	26	6	-21.01656	55.66901
F02-14	27	14	-20.99997	55.646787
F03-22	28	22	-21.052854	55.524444
F04-30	29	30	-21.010652	55.671969
F05-38	30	38	-20.990771	55.346844
G01-7	31	7	-21.214715	55.806415
G02-15	32	15	-21.022077	55.667303
G03-23	33	23	-21.015086	55.6479
G04-31	34	31	-20.930065	55.651333
G05-39	35	39	-21.14359	55.318955
H01-8	36	8	-21.148579	55.48707
H02-16	37	16	-20.998201	55.647688
H03-24	38	24	-20.988022	55.653644
H04-32	39	32	-21.041206	55.243579
A01-40	40	40	-21.318835	55.499659
A02-48	41	48	-20.914779	55.458192
A03-56	42	56	-21.196376	55.57772
B01-41	43	41	-21.07907	55.703834
B02-49	44	49	-20.892856	55.516434
B03-57	45	57	-21.25782	55.3803
C01-42	46	42	-21.21815	55.45512
C02-50	47	50	-21.287378	55.493033
C03-58	48	58	-21.339002	55.487359
D01-43	49	43	-21.08351	55.2694
D02-51	50	51	-21.284792	55.453567
E01-44	52	44	-21.359808	55.74318
E02-52	53	52	-21.342624	55.57256
E03-60	54	60	-21.354016	55.554411
F01-45	55	45	-21.252925	55.373987
F02-53	56	53	-20.964422	55.490422
F03-61	57	61	-20.89163	55.46279
G01-46	58	46	-20.99997	55.646787
G02-54	59	54	-21.09738	55.65841
H01-47	60	47	-21.092081	55.306377
H02-55	61	55	-21.193657	55.312368
