ind	LAT	LON
A01-1	-21.12058	55.691984
B01-2	-20.922611	55.613837
C01-3	-21.222318	55.455361
D01-4	-21.146325	55.324206
E01-5	-20.985779	55.614343
F01-6	-21.01656	55.66901
G01-7	-21.214715	55.806415
H01-8	-21.148579	55.48707
A02-9	-21.310922	55.535568
B02-10	-20.929399	55.65055
C02-11	-20.929582	55.651494
D02-12	-21.018894	55.660613
E02-13	-21.018894	55.660613
F02-14	-20.99997	55.646787
G02-15	-21.022077	55.667303
H02-16	-20.998201	55.647688
A03-17	-20.947493	55.635494
B03-18	-20.920227	55.605946
C03-19	-20.928748	55.650858
D03-20	-20.929386	55.651168
E03-21	-20.999617	55.64435
F03-22	-21.052854	55.524444
G03-23	-21.015086	55.6479
H03-24	-20.988022	55.653644
A04-25	-21.014659	55.649112
B04-26	-21.007564	55.656181
C04-27	-20.987527	55.651753
D04-28	-21.323388	55.633084
E04-29	-21.118283	55.688257
F04-30	-21.010652	55.671969
G04-31	-20.930065	55.651333
H04-32	-21.041206	55.243579
A05-33	-21.015621	55.646931
B05-34	-21.113336	55.68912
C05-35	-21.112635	55.690092
D05-36	-21.11789	55.689185
E05-37	-21.245806	55.497275
F05-38	-20.990771	55.346844
G05-39	-21.14359	55.318955
A01-40	-21.318835	55.499659
B01-41	-21.07907	55.703834
C01-42	-21.21815	55.45512
D01-43	-21.08351	55.2694
E01-44	-21.359808	55.74318
F01-45	-21.252925	55.373987
G01-46	-20.99997	55.646787
H01-47	-21.092081	55.306377
A02-48	-20.914779	55.458192
B02-49	-20.892856	55.516434
C02-50	-21.287378	55.493033
D02-51	-21.284792	55.453567
E02-52	-21.342624	55.57256
F02-53	-20.964422	55.490422
G02-54	-21.09738	55.65841
H02-55	-21.193657	55.312368
A03-56	-21.196376	55.57772
B03-57	-21.25782	55.3803
C03-58	-21.339002	55.487359
E03-60	-21.354016	55.554411
F03-61	-20.89163	55.46279
